[FATAL] 2017-03-19 09:18:13,150 com.namedquerydemo.TestManageEmployee main - this is fatal level
[ERROR] 2017-03-19 09:18:13,640 com.namedquerydemo.TestManageEmployee main - this is error level
[FATAL] 2017-03-19 09:25:22,101 com.namedquerydemo.TestManageEmployee main - this is fatal level
[ERROR] 2017-03-19 09:25:22,291 com.namedquerydemo.TestManageEmployee main - this is error level
[FATAL] 2017-03-19 12:55:39,112 com.namedquerydemo.TestManageEmployee main - this is fatal level
[ERROR] 2017-03-19 12:55:39,326 com.namedquerydemo.TestManageEmployee main - this is error level
[FATAL] 2017-03-19 12:56:43,640 com.namedquerydemo.TestManageEmployee main - this is fatal level
[ERROR] 2017-03-19 12:56:43,833 com.namedquerydemo.TestManageEmployee main - this is error level
[WARN] 2017-03-19 12:56:43,835 com.namedquerydemo.TestManageEmployee main - this is warn level
[INFO] 2017-03-19 12:56:43,836 com.namedquerydemo.TestManageEmployee main - this is info level
[DEBUG] 2017-03-19 12:56:43,837 com.namedquerydemo.TestManageEmployee main - this is debug level
[DEBUG] 2017-03-19 12:56:43,920 org.jboss.logging <clinit> - Logging Provider: org.jboss.logging.Log4jLoggerProvider
[DEBUG] 2017-03-19 12:56:43,940 org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@68fb2c38
[DEBUG] 2017-03-19 12:56:43,944 org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@68fb2c38
[DEBUG] 2017-03-19 12:56:43,945 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@68fb2c38
[DEBUG] 2017-03-19 12:56:43,947 org.hibernate.type.BasicTypeRegistry register - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1761e840
[DEBUG] 2017-03-19 12:56:43,952 org.hibernate.type.BasicTypeRegistry register - Adding type registration true_false -> org.hibernate.type.TrueFalseType@51016012
[DEBUG] 2017-03-19 12:56:43,954 org.hibernate.type.BasicTypeRegistry register - Adding type registration yes_no -> org.hibernate.type.YesNoType@1517365b
[DEBUG] 2017-03-19 12:56:43,957 org.hibernate.type.BasicTypeRegistry register - Adding type registration byte -> org.hibernate.type.ByteType@768debd
[DEBUG] 2017-03-19 12:56:43,958 org.hibernate.type.BasicTypeRegistry register - Adding type registration byte -> org.hibernate.type.ByteType@768debd
[DEBUG] 2017-03-19 12:56:43,959 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@768debd
[DEBUG] 2017-03-19 12:56:43,962 org.hibernate.type.BasicTypeRegistry register - Adding type registration character -> org.hibernate.type.CharacterType@66133adc
[DEBUG] 2017-03-19 12:56:43,965 org.hibernate.type.BasicTypeRegistry register - Adding type registration char -> org.hibernate.type.CharacterType@66133adc
[DEBUG] 2017-03-19 12:56:43,966 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@66133adc
[DEBUG] 2017-03-19 12:56:43,969 org.hibernate.type.BasicTypeRegistry register - Adding type registration short -> org.hibernate.type.ShortType@4f4a7090
[DEBUG] 2017-03-19 12:56:43,970 org.hibernate.type.BasicTypeRegistry register - Adding type registration short -> org.hibernate.type.ShortType@4f4a7090
[DEBUG] 2017-03-19 12:56:43,971 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4f4a7090
[DEBUG] 2017-03-19 12:56:43,973 org.hibernate.type.BasicTypeRegistry register - Adding type registration integer -> org.hibernate.type.IntegerType@ba4d54
[DEBUG] 2017-03-19 12:56:43,974 org.hibernate.type.BasicTypeRegistry register - Adding type registration int -> org.hibernate.type.IntegerType@ba4d54
[DEBUG] 2017-03-19 12:56:43,975 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@ba4d54
[DEBUG] 2017-03-19 12:56:43,978 org.hibernate.type.BasicTypeRegistry register - Adding type registration long -> org.hibernate.type.LongType@2471cca7
[DEBUG] 2017-03-19 12:56:43,979 org.hibernate.type.BasicTypeRegistry register - Adding type registration long -> org.hibernate.type.LongType@2471cca7
[DEBUG] 2017-03-19 12:56:43,980 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2471cca7
[DEBUG] 2017-03-19 12:56:43,983 org.hibernate.type.BasicTypeRegistry register - Adding type registration float -> org.hibernate.type.FloatType@3ac42916
[DEBUG] 2017-03-19 12:56:43,985 org.hibernate.type.BasicTypeRegistry register - Adding type registration float -> org.hibernate.type.FloatType@3ac42916
[DEBUG] 2017-03-19 12:56:43,986 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3ac42916
[DEBUG] 2017-03-19 12:56:43,989 org.hibernate.type.BasicTypeRegistry register - Adding type registration double -> org.hibernate.type.DoubleType@387c703b
[DEBUG] 2017-03-19 12:56:43,990 org.hibernate.type.BasicTypeRegistry register - Adding type registration double -> org.hibernate.type.DoubleType@387c703b
[DEBUG] 2017-03-19 12:56:43,992 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@387c703b
[DEBUG] 2017-03-19 12:56:43,996 org.hibernate.type.BasicTypeRegistry register - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@13b6d03
[DEBUG] 2017-03-19 12:56:43,998 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@13b6d03
[DEBUG] 2017-03-19 12:56:44,002 org.hibernate.type.BasicTypeRegistry register - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@21a06946
[DEBUG] 2017-03-19 12:56:44,004 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@21a06946
[DEBUG] 2017-03-19 12:56:44,006 org.hibernate.type.BasicTypeRegistry register - Adding type registration string -> org.hibernate.type.StringType@2cfb4a64
[DEBUG] 2017-03-19 12:56:44,007 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.String -> org.hibernate.type.StringType@2cfb4a64
[DEBUG] 2017-03-19 12:56:44,010 org.hibernate.type.BasicTypeRegistry register - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@66048bfd
[DEBUG] 2017-03-19 12:56:44,012 org.hibernate.type.BasicTypeRegistry register - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@63d4e2ba
[DEBUG] 2017-03-19 12:56:44,014 org.hibernate.type.BasicTypeRegistry register - Adding type registration url -> org.hibernate.type.UrlType@7cdbc5d3
[DEBUG] 2017-03-19 12:56:44,015 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7cdbc5d3
